pageid,title
428585,Eleanor Laing
428640,David Lidington
434663,Lindsay Hoyle
434713,"John McFall, Baron McFall of Alcluith"
469529,"Joyce Anelay, Baroness Anelay of St Johns"
723838,Chris Heaton-Harris
1082964,Greg Hands
1281068,Michael Gove
1481090,Kit Malthouse
1847198,Sadiq Khan
1870449,Ben Wallace (politician)
1872058,Grant Shapps
1872870,Nadine Dorries
1906583,Chris Philp
1939254,Syed Kamall
3111139,Annabel Goldie
3665467,Zac Goldsmith
4170300,Washington Misick
4321086,James Lyall Sharp
4343837,Laurie Bristow
4783763,Brandon Lewis
5603691,Priti Patel
5932452,Simon Collis
6304425,Robin Walker
6617581,Jacob Rees-Mogg
7121294,Penny Mordaunt
7668310,"Andrew Burrows, Lord Burrows"
10388114,Geoffrey Adams
14687085,Leigh Turner
16018837,Tom Scholar
16657572,"David Kitchin, Lord Kitchin"
17311614,James Cleverly
17564986,"Robert Reed, Baron Reed of Allermuir"
19065069,Boris Johnson
20208494,Andrew Bailey (banker)
21767882,"Nicholas Hamblen, Lord Hamblen of Kersey"
22589238,"Michael Briggs, Lord Briggs of Westbourne"
23619322,Chloe Smith
24032671,"Patrick Hodge, Lord Hodge"
25826258,Mark Sedwill
26119658,Thérèse Coffey
27264640,Stuart Andrew
27265339,Alok Sharma
27266895,Nigel Adams
27269553,Dominic Raab
27270934,Liz Truss
27274243,George Eustice
27278540,Steve Barclay (politician)
27279085,Andrew Stephenson
27281194,Simon Hart
27284572,Nadhim Zahawi
27285207,George Hollingbery
27286521,Sajid Javid
27286927,Conor Burns
27297739,"Edward Llewellyn, Baron Llewellyn of Steep"
27303943,Kwasi Kwarteng
27329380,Michael Ellis (British politician)
27353528,Chris Pincher
27368350,Mark Spencer (British politician)
27918146,John Glen (politician)
29621535,Neil O'Brien
29933029,"Tariq Ahmad, Baron Ahmad of Wimbledon"
30246650,"Nicholas True, Baron True"
31097419,Simon Smith (diplomat)
32357193,Alastair McPhail
35408680,Mark Carleton-Smith
35589852,Karen Pierce
35633388,Nick Archer
35657569,Dominick Chilcott
35709959,Keith Shannon
36799945,Paul Madden (diplomat)
37391587,"George Leggatt, Lord Leggatt"
37605742,Judith Farnworth
38464275,Tim Barrow
39304031,Vivien Rose
40955367,John Rankin (diplomat)
41248516,Nicholas Kay
41257952,Neil Wigan
41318527,Nigel Huddleston
41520297,Michael Gifford
41719054,Sebastian Wood
41922124,Robert Macaire (diplomat)
42653044,"Stephen Greenhalgh, Baron Greenhalgh"
42831533,Michael Aron
42837574,"Susan Williams, Baroness Williams of Trafford"
44009954,"Natalie Evans, Baroness Evans of Bowes Park"
44014654,Alex Younger
44024494,"Philip Sales, Lord Sales"
44418240,Brian Davidson
45275990,Mockbul Ali
45461455,Barbara Woodward
46399592,Victoria Prentis
46606228,Menna Rawlings
46622934,Rishi Sunak
46638621,Helen Whately
46642289,Michelle Donelan
46642547,Wendy Morton
46642622,Will Quince
46644584,Amanda Milling
46644993,James Heappey
46645665,Anne-Marie Trevelyan
46645796,James Cartlidge
46646159,Mims Davies
46646353,Lucy Frazer
46646833,Suella Braverman
46647164,Rebecca Pow
46648437,Kevin Foster (politician)
46654157,Jeremy Quin
48099093,Kemi Badenoch
49054708,Simon Case
50211009,"Gerry Grimstone, Baron Grimstone of Boscobel"
50632471,Alastair Morgan
51527674,Nicholas Hopton
51836657,Sally Axworthy
52339207,Thorhilda Abbott-Watt
52766565,Edward Oakden
52910672,Antony Stokes
53161798,Kate Smith (diplomat)
54256282,Gillian Keegan
54256458,Julia Lopez (politician)
54257112,Leo Docherty
54258178,Simon Clarke (politician)
54259012,Alister Jack
54768379,Nigel Phillips
54771353,Peter Wilson (diplomat)
54869536,Theresa Bubbear
54877393,Andrew Garth
54877930,Dominic Schroeder
54878892,Jonathan Knott
56113041,Sian MacLeod
56156271,Jonathan Wilks
56226972,Andrew Pearce (diplomat)
57030559,Moazzam Malik (diplomat)
57352034,"Ben Stephens, Lord Stephens of Creevyloughgare"
57450634,"Diana Barran, Baroness Barran"
58832059,Martyn Roper
59103802,Jessica Hand
59836677,Chris Sainty
60117166,John Murton (diplomat)
60365358,Chris Rampling
60502555,Michael Davenport (diplomat)
60690613,Melinda Simmons
60695936,Laura Clarke
62009480,Ross Denny
62027178,Easton Taylor-Farrell
62570385,Andrew Griffith
62648922,Charlene Warren-Peu
62718128,Sharon Campbell
62754300,Duncan Norman
62771663,Daniel Pruce
62773375,Josephine Gauld
62818138,Andrew Noble (diplomat)
63025744,Christopher Yvon
63086041,Hugh Elliott (diplomat)
63118944,Jacqueline Perkins (diplomat)
63262156,Alison Blackburne
63549493,Nigel Dakin
63655907,Richard Moore (diplomat)
64229045,Tina Redshaw
64456525,Nicola Pollitt
64486123,Corin Robertson
64542776,Catherine Evans
65164632,Colin Crooks
65186767,Andrew Dalgleish (diplomat)
65186855,Bernhard Garside
65253677,Vijay Rangarajan
65818440,Carolyn Davidson (diplomat)
65818472,Tom Carter (diplomat)
65880862,Robin Barnett
65880942,Bridget Brind
67247198,Paul Johnston (diplomat)
67268029,Richard Wood (diplomat)
67397075,Barry Lowen
67400893,Peter Tibber
67500695,Wayne Panton
67521041,Sharon Wardle
68460169,Simon Shercliff
68855074,Malcolm Offord
69568967,John Edwards (regulator)
69692497,Roderick Drummond
69698407,Bryony Mathew
70012467,Matthew Lodge (diplomat)
70278458,Lindsay Skoll
70678862,Natalio Wheatley
70832552,Charliena White
